,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),label
49,2019-02-22,20,11,0.3548387096774194,22.0,7.0,0.2413793103448276,9.0,10.0,0.5263157894736842,1
50,2019-02-21,9,10,0.5263157894736842,20.0,11.0,0.3548387096774194,22.0,7.0,0.2413793103448276,1
51,2019-02-20,23,16,0.41025641025641024,9.0,10.0,0.5263157894736842,20.0,11.0,0.3548387096774194,0
52,2019-02-19,21,12,0.36363636363636365,23.0,16.0,0.41025641025641024,9.0,10.0,0.5263157894736842,1
53,2019-02-15,41,24,0.36923076923076925,21.0,12.0,0.36363636363636365,23.0,16.0,0.41025641025641024,1
54,2019-02-14,34,16,0.32,41.0,24.0,0.36923076923076925,21.0,12.0,0.36363636363636365,1
55,2019-02-13,15,10,0.4,34.0,16.0,0.32,41.0,24.0,0.36923076923076925,0
56,2019-02-12,23,20,0.46511627906976744,15.0,10.0,0.4,34.0,16.0,0.32,1
57,2019-02-11,18,7,0.28,23.0,20.0,0.46511627906976744,15.0,10.0,0.4,1
58,2019-02-08,24,14,0.3684210526315789,18.0,7.0,0.28,23.0,20.0,0.46511627906976744,0
59,2019-02-07,28,15,0.3488372093023256,24.0,14.0,0.3684210526315789,18.0,7.0,0.28,0
60,2019-02-06,19,11,0.36666666666666664,28.0,15.0,0.3488372093023256,24.0,14.0,0.3684210526315789,0
61,2019-02-05,20,8,0.2857142857142857,19.0,11.0,0.36666666666666664,28.0,15.0,0.3488372093023256,0
62,2019-02-04,14,7,0.3333333333333333,20.0,8.0,0.2857142857142857,19.0,11.0,0.36666666666666664,1
63,2019-02-01,14,14,0.5,14.0,7.0,0.3333333333333333,20.0,8.0,0.2857142857142857,1
64,2019-01-31,15,6,0.2857142857142857,14.0,14.0,0.5,14.0,7.0,0.3333333333333333,1
65,2019-01-30,32,13,0.28888888888888886,15.0,6.0,0.2857142857142857,14.0,14.0,0.5,0
66,2019-01-29,20,6,0.23076923076923078,32.0,13.0,0.28888888888888886,15.0,6.0,0.2857142857142857,1
67,2019-01-28,23,10,0.30303030303030304,20.0,6.0,0.23076923076923078,32.0,13.0,0.28888888888888886,1
68,2019-01-25,20,3,0.13043478260869565,23.0,10.0,0.30303030303030304,20.0,6.0,0.23076923076923078,0
69,2019-01-24,16,3,0.15789473684210525,20.0,3.0,0.13043478260869565,23.0,10.0,0.30303030303030304,1
70,2019-01-23,22,6,0.21428571428571427,16.0,3.0,0.15789473684210525,20.0,3.0,0.13043478260869565,0
71,2019-01-22,18,12,0.4,22.0,6.0,0.21428571428571427,16.0,3.0,0.15789473684210525,1
72,2019-01-18,40,12,0.23076923076923078,18.0,12.0,0.4,22.0,6.0,0.21428571428571427,0
73,2019-01-17,45,21,0.3181818181818182,40.0,12.0,0.23076923076923078,18.0,12.0,0.4,1
74,2019-01-16,45,6,0.11764705882352941,45.0,21.0,0.3181818181818182,40.0,12.0,0.23076923076923078,1
75,2019-01-15,14,2,0.125,45.0,6.0,0.11764705882352941,45.0,21.0,0.3181818181818182,1
76,2019-01-14,24,6,0.2,14.0,2.0,0.125,45.0,6.0,0.11764705882352941,1
77,2019-01-11,20,5,0.2,24.0,6.0,0.2,14.0,2.0,0.125,0
78,2019-01-10,46,18,0.28125,20.0,5.0,0.2,24.0,6.0,0.2,0
79,2019-01-09,36,21,0.3684210526315789,46.0,18.0,0.28125,20.0,5.0,0.2,1
80,2019-01-08,32,6,0.15789473684210525,36.0,21.0,0.3684210526315789,46.0,18.0,0.28125,1
81,2019-01-07,15,8,0.34782608695652173,32.0,6.0,0.15789473684210525,36.0,21.0,0.3684210526315789,1
82,2019-01-04,52,27,0.34177215189873417,15.0,8.0,0.34782608695652173,32.0,6.0,0.15789473684210525,1
83,2019-01-03,47,22,0.3188405797101449,52.0,27.0,0.34177215189873417,15.0,8.0,0.34782608695652173,1
84,2019-01-02,44,25,0.36231884057971014,47.0,22.0,0.3188405797101449,52.0,27.0,0.34177215189873417,0
85,2018-12-31,40,13,0.24528301886792453,44.0,25.0,0.36231884057971014,47.0,22.0,0.3188405797101449,1
86,2018-12-28,82,33,0.28695652173913044,40.0,13.0,0.24528301886792453,44.0,25.0,0.36231884057971014,1
87,2018-12-27,105,57,0.35185185185185186,82.0,33.0,0.28695652173913044,40.0,13.0,0.24528301886792453,0
88,2018-12-26,116,55,0.3216374269005848,105.0,57.0,0.35185185185185186,82.0,33.0,0.28695652173913044,1
89,2018-12-24,78,46,0.3709677419354839,116.0,55.0,0.3216374269005848,105.0,57.0,0.35185185185185186,1
90,2018-12-21,58,31,0.34831460674157305,78.0,46.0,0.3709677419354839,116.0,55.0,0.3216374269005848,0
91,2018-12-20,64,33,0.3402061855670103,58.0,31.0,0.34831460674157305,78.0,46.0,0.3709677419354839,0
92,2018-12-19,69,35,0.33653846153846156,64.0,33.0,0.3402061855670103,58.0,31.0,0.34831460674157305,0
93,2018-12-18,57,22,0.27848101265822783,69.0,35.0,0.33653846153846156,64.0,33.0,0.3402061855670103,0
94,2018-12-17,52,28,0.35,57.0,22.0,0.27848101265822783,69.0,35.0,0.33653846153846156,1
95,2018-12-14,40,11,0.21568627450980393,52.0,28.0,0.35,57.0,22.0,0.27848101265822783,0
96,2018-12-13,22,17,0.4358974358974359,40.0,11.0,0.21568627450980393,52.0,28.0,0.35,0
97,2018-12-12,24,15,0.38461538461538464,22.0,17.0,0.4358974358974359,40.0,11.0,0.21568627450980393,1
98,2018-12-11,39,24,0.38095238095238093,24.0,15.0,0.38461538461538464,22.0,17.0,0.4358974358974359,1
99,2018-12-10,51,9,0.15,39.0,24.0,0.38095238095238093,24.0,15.0,0.38461538461538464,0
100,2018-12-07,37,13,0.26,51.0,9.0,0.15,39.0,24.0,0.38095238095238093,1
101,2018-12-06,61,27,0.3068181818181818,37.0,13.0,0.26,51.0,9.0,0.15,0
102,2018-12-04,45,22,0.3283582089552239,61.0,27.0,0.3068181818181818,37.0,13.0,0.26,0
103,2018-12-03,21,10,0.3225806451612903,45.0,22.0,0.3283582089552239,61.0,27.0,0.3068181818181818,0
104,2018-11-30,6,10,0.625,21.0,10.0,0.3225806451612903,45.0,22.0,0.3283582089552239,1
105,2018-11-29,16,6,0.2727272727272727,6.0,10.0,0.625,21.0,10.0,0.3225806451612903,1
106,2018-11-28,23,19,0.4523809523809524,16.0,6.0,0.2727272727272727,6.0,10.0,0.625,0
107,2018-11-27,9,7,0.4375,23.0,19.0,0.4523809523809524,16.0,6.0,0.2727272727272727,1
108,2018-11-26,12,5,0.29411764705882354,9.0,7.0,0.4375,23.0,19.0,0.4523809523809524,1
