,date,negatives,positives,ratio,negatives (t-1),positives (t-1),ratio (t-1),negatives (t-2),positives (t-2),ratio (t-2),negatives (t-3),positives (t-3),ratio (t-3),negatives (t-4),positives (t-4),ratio (t-4),negatives (t-5),positives (t-5),ratio (t-5),negatives (t-6),positives (t-6),ratio (t-6),negatives (t-7),positives (t-7),ratio (t-7),Date,Close
0,2019-05-04,21.0,11.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5/4/19,5794.140136999999
1,2019-05-03,43.0,20.0,0.31746031746031744,39.0,21.0,0.35,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,5/3/19,5840.080078
2,2019-05-02,39.0,21.0,0.35,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,5/2/19,5753.379883
3,2019-05-01,18.0,11.0,0.3793103448275862,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,5/1/19,5500.720215
4,2019-04-30,18.0,8.0,0.3076923076923077,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,4/30/19,5389.540039
5,2019-04-29,15.0,7.0,0.3181818181818182,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,4/29/19,5350.640136999999
6,2019-04-28,30.0,9.0,0.2307692307692308,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,4/28/19,5237.959961
7,2019-04-27,25.0,17.0,0.4047619047619048,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,4/27/19,5272.450195
8,2019-04-26,32.0,23.0,0.41818181818181815,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,4/26/19,5229.47998
9,2019-04-25,29.0,27.0,0.4821428571428572,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,4/25/19,5234.089844
10,2019-04-24,24.0,23.0,0.4893617021276596,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,4/24/19,5162.669922
11,2019-04-23,23.0,22.0,0.4888888888888889,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,4/23/19,5454.580078
12,2019-04-22,25.0,17.0,0.4047619047619048,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,4/22/19,5539.100098
13,2019-04-21,16.0,10.0,0.38461538461538464,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,4/21/19,5394.669922
14,2019-04-20,19.0,7.0,0.2692307692307692,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,4/20/19,5305.740234000001
15,2019-04-19,9.0,12.0,0.5714285714285714,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,4/19/19,5326.180176
16,2019-04-18,27.0,11.0,0.2894736842105263,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,4/18/19,5295.529785
17,2019-04-17,21.0,15.0,0.4166666666666667,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,4/17/19,5289.75
18,2019-04-16,24.0,13.0,0.35135135135135137,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,4/16/19,5236.259765999999
19,2019-04-15,21.0,13.0,0.38235294117647056,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,4/15/19,5212.810059
20,2019-04-14,14.0,6.0,0.3,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,36.0,22.0,0.3793103448275862,4/14/19,5037.27002
21,2019-04-13,9.0,6.0,0.4,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,36.0,22.0,0.3793103448275862,23.0,16.0,0.41025641025641024,4/13/19,5165.589844
22,2019-04-12,23.0,8.0,0.25806451612903225,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,36.0,22.0,0.3793103448275862,23.0,16.0,0.41025641025641024,16.0,12.0,0.42857142857142855,4/12/19,5080.660156
23,2019-04-11,32.0,32.0,0.5,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,36.0,22.0,0.3793103448275862,23.0,16.0,0.41025641025641024,16.0,12.0,0.42857142857142855,25.0,23.0,0.4791666666666667,4/11/19,5081.5
24,2019-04-10,42.0,25.0,0.373134328358209,18.0,8.0,0.3076923076923077,20.0,12.0,0.375,36.0,22.0,0.3793103448275862,23.0,16.0,0.41025641025641024,16.0,12.0,0.42857142857142855,25.0,23.0,0.4791666666666667,53.0,34.0,0.3908045977011495,4/10/19,5048.560059
