,date,Close,Label
0,2019-05-03,255.03,1
1,2019-05-02,244.100006,1
2,2019-05-01,234.009995,0
3,2019-04-30,238.690002,1
4,2019-04-29,241.470001,1
5,2019-04-26,235.139999,0
6,2019-04-25,247.630005,0
7,2019-04-24,258.660004,0
8,2019-04-23,263.899994,0
9,2019-04-22,262.75,1
10,2019-04-18,273.26001,0
11,2019-04-17,271.230011,1
12,2019-04-16,273.359985,1
13,2019-04-15,266.380005,1
14,2019-04-12,267.700012,1
15,2019-04-11,268.420013,0
16,2019-04-10,276.059998,1
17,2019-04-09,272.309998,0
18,2019-04-08,273.200012,1
19,2019-04-05,274.959991,1
20,2019-04-04,267.779999,0
21,2019-04-03,291.809998,1
22,2019-04-02,285.880005,0
23,2019-04-01,289.179993,1
24,2019-03-29,279.859985,1
25,2019-03-28,278.619995,0
26,2019-03-27,274.829987,0
27,2019-03-26,267.769989,0
28,2019-03-25,260.420013,0
29,2019-03-22,264.529999,1
30,2019-03-21,274.019989,0
31,2019-03-20,273.600006,1
32,2019-03-19,267.470001,0
33,2019-03-18,269.48999,1
34,2019-03-15,275.429993,1
35,2019-03-14,289.959991,1
36,2019-03-13,288.959991,1
37,2019-03-12,283.359985,1
38,2019-03-11,290.920013,0
39,2019-03-08,284.140015,1
40,2019-03-07,276.589996,1
41,2019-03-06,276.23999,0
42,2019-03-05,276.540009,0
43,2019-03-04,285.359985,1
44,2019-03-01,294.790009,0
45,2019-02-28,319.880005,0
46,2019-02-27,314.73999,1
47,2019-02-26,297.859985,1
48,2019-02-25,298.769989,0
49,2019-02-22,294.709991,0
