,comment,date,+/-
609,"Elon promises LEVEL 5 autonomy in one year, with LIDAR. No demo. no insights. when will the con stop lying?
","Apr 23, 2019 9:36AM ET",
610,"let's dive
","Apr 23, 2019 9:34AM ET",
611,"seems like even they make profit this quarter the stock will go to 240...
","Apr 23, 2019 8:15AM ET",
612,"anyone leary of buying the dip here with the ER coming out tomorrow?
","Apr 23, 2019 7:53AM ET",
613,"having fun bag holders?
","Apr 23, 2019 7:13AM ET",
614,"What a terrible company.
","Apr 23, 2019 5:41AM ET",
615,"does anyone know when earnings report will be relesed?
","Apr 22, 2019 11:46PM ET",
616,"bad but better than 250, always!
","Apr 22, 2019 11:24PM ET",
617,"First they ignore you, then they laugh at you, then they fight you, then you WIN.
","Apr 22, 2019 9:51PM ET",
618,"I have bought some shares at 261 is it worth to hold to them? Anyone expects a bounce?
","Apr 22, 2019 6:40PM ET",
619,"Tesla released an 8-K filing that detailed four of its board members will not stand for re-election when their terms end over the next couple of years. There has been a lot of criticism surrounding the board and its relationship with Musk, so perhaps a bit...Show more
","Apr 22, 2019 4:05PM ET",
620,"totally agree with you, Luis Freire !
","Apr 22, 2019 3:59PM ET",
621,"I entered buy order to buy 2000 shares of Tesla at $245 good till cancel
","Apr 22, 2019 3:58PM ET",
622,"Tesla Autonomy Day presentation feels like university lectures for AI and data mining. Only full of theories and concepts and not much actual demos of fully autonomous driving features. This is what companies usually do when they have nothing to show for
","Apr 22, 2019 3:56PM ET",
623,"if you guys think one of the most innovative assets out there is a bluff, you really didnt see what happend with netflix/amazon/fb and many more when they were presented , you really blind or trying to protect your sell, this is going to remarkeble heights
","Apr 22, 2019 3:49PM ET",
624,"Musk owns 30million shares.  Will he lose all he made?  Does the largest fund know something we don't?
","Apr 22, 2019 3:21PM ET",
625,"Musk owns 30million shares.  Will he lose all he made?  Does the largest fund know something we don't?
","Apr 22, 2019 3:21PM ET",
626,"long at 263.85 for a rebound.
","Apr 22, 2019 2:39PM ET",
627,"Some external forces are trying to push the stock price lower, the pace of bad news about Tesla is very strange. I wonder what bad news for tomorrow. This explosion could be a setup.
","Apr 22, 2019 2:37PM ET",
628,"we are going private at $4000 !!
","Apr 22, 2019 2:28PM ET",
629,"If only Wallstreet knew what the cheerleaders knew. Tesla is worth at least 10X what the market thinks
","Apr 22, 2019 12:45PM ET",
630,"I parked my money in Tesla and it immediately burned up. Elon, please investigate this one too!
","Apr 22, 2019 12:29PM ET",
631,"Wasnt there a strong support line at 260?
","Apr 22, 2019 10:57AM ET",
632,"tsla touch my fibo line 263.37.. waiting signal for retracement
","Apr 22, 2019 10:48AM ET",
633,"It will drop below $260 and earnings will be negative!
","Apr 22, 2019 10:48AM ET",
634,"ok the last news tesla will go to $100 !! no why?? is such a great stock ???
","Apr 22, 2019 10:46AM ET",
635,"How low its gonna go ?
","Apr 22, 2019 10:44AM ET",
636,"yes it's a roller coaster...iam holding tight
","Apr 22, 2019 10:26AM ET",
637,"If there's a close below 250 this week, get the *****out.
","Apr 22, 2019 10:11AM ET",
638,"I'm going to invest my pension, my child's tuition, my savings and all extra money in Tesla. We'll see who's laughing
","Apr 22, 2019 9:50AM ET",
639,"this company is falling apart.get out now before is to late .breaking$260 is the $240 range
","Apr 22, 2019 9:48AM ET",
640,"Pre market 267
","Apr 22, 2019 8:07AM ET",
641,"actually I bought in at 262 last week. going great to 280 this week
","Apr 22, 2019 8:02AM ET",
642,"I bought in at 266 about last week so I'm still good.
","Apr 22, 2019 8:01AM ET",
643,"How this Tesla news about exploding will affect Tesla stock?
","Apr 22, 2019 7:21AM ET",
644,"How these Tesla news will affect Tesla Stock?
","Apr 22, 2019 7:17AM ET",
645,"So many bears here.. TSLA is doing great. It's quite stupid the market is reacting so hard of some negative news. It's the first time in Tesla history that they're profitable back to back quarter (Q4 of 2018 and Q1 of 2019).
","Apr 22, 2019 7:09AM ET",
646,"I never understand the logic behind deleting the comments here...
","Apr 22, 2019 5:37AM ET",
647,"Nowadays Tesla stocks cant beleive ..better invest in other stocks
","Apr 22, 2019 5:31AM ET",
648,"very good start to week... any small negatıve news is disaster for TSLA stock. this is like a joke.
","Apr 22, 2019 4:11AM ET",
649,"i sold that tsla for 276... 30 pcs.... anybody holds it?
","Apr 22, 2019 3:42AM ET",
650,"https://m.weibo.cn/search?containerid=231522type=1&amp;q;=#特斯拉自燃#
","Apr 22, 2019 12:31AM ET",
651,"iam buying more now and holding for one year
","Apr 21, 2019 5:31PM ET",
652,"How about the presentation of the new autonomous driving the 22nd?
","Apr 20, 2019 9:16AM ET",
653,"whos long or short on earnings ?
","Apr 19, 2019 11:07AM ET",
654,"Where's this guy wti something? I miss his logical questions.
","Apr 19, 2019 9:37AM ET",
655,"Dogs bark but Tesla moves on...
","Apr 18, 2019 9:25PM ET",
656,"even the moderators are deleting bullish comments here ! unbelievable... . I am typing again what ever you do TSLA will be above 300 soon !
","Apr 18, 2019 8:09PM ET",
657,"Second largest shareholder cut their position in half. What's going on - don't they want to be rich?
","Apr 18, 2019 7:32PM ET",
658,"Not bad at all for today. Tomorrow up $280 and maybe before earnings $295 but you'll never know with this stock.Im long till 24.
","Apr 18, 2019 4:45PM ET",
659,"Any of the bears in here planning to target Pinterest or Uber IPO's? The latter of these, at least, is looking awfully dicey. No gains for the private sector, inflated investment prices, and big plans to capture these ""gains"" from the public markets. Lyft ...Show more
","Apr 18, 2019 4:06PM ET",
660,"Once-hailed ‘Tesla Killer’ Audi e-tron slows down production to just 6 hrs/day:. https://www.teslarati.com/tesla ****audi-etron-battery-production-update
","Apr 18, 2019 2:08PM ET",
661,"I'm curious about Gigafactory. Elon says it is because behemoth Panasonic can't keep pace with Tesla production.. Does this mean Tesla continue without Pan? Will Tesla be able to fund w/o support? Is Panasonic pulling the plug quietly to avoid the negative...Show more
","Apr 18, 2019 12:59PM ET",
662,"Let's if theresistance will be broken
","Apr 18, 2019 12:44PM ET",
663,"after quarter result $220
","Apr 18, 2019 12:05PM ET",
664,"time to buy nio again cheap at $4.6
","Apr 18, 2019 11:09AM ET",
665,"you guys need see article about giga factory investigation for waste of battery and big mess.
","Apr 18, 2019 11:08AM ET",
666,"bullish
","Apr 18, 2019 10:37AM ET",
667,"Tesla, the Future is Now
","Apr 18, 2019 10:03AM ET",
668,"I think it's going up today
","Apr 18, 2019 9:45AM ET",
669,"just met a client who drove a model S yesterday and we discuss about the car. she absolutely love everything about the car. and again I have never seen anybody who drove Tesla so far complaint about this car.this is the reason why I don't care about all th...Show more
","Apr 18, 2019 8:22AM ET",
670,"Fanboys make strawman arguments for Tesla. Cannoy point to the numbers except that Tesla has grown from zero production lol
","Apr 17, 2019 9:12PM ET",
671,"well, they have reduced the PT to 400 but Tesla is still outperform
","Apr 17, 2019 11:45AM ET",
672,"Tesla's Main Product Isn't Cars, It's SubsidiesTesla received $713 million in U.S. subsidies in Q3, compared to its $312 million profit
","Apr 17, 2019 11:19AM ET",
673,"Apple is apparently looking for self driving system providers. Literally everyone is pouring **billions** on to self driving and EV. Guess who is the LEADER in both of these areas? :D
","Apr 17, 2019 11:13AM ET",
674,"WTI i think $268
","Apr 17, 2019 11:01AM ET",
675,"we need to wait for 6 months...after that boom to 340
","Apr 17, 2019 10:58AM ET",
676,"this hasn't gone up while Nasdaq index went up 20% or more in the last 3 months. Imagine if correction occurs for indices. Tesla will reach 200 level easily.
","Apr 17, 2019 10:02AM ET",
677,"Read and learn, the invest: https://www.tesla.com/ns_videos/tesla-impact-report-2019.pdf
","Apr 16, 2019 8:56PM ET",
678,"I own Tesla stock so I own a part of the future ;) You cannot stop TIME :D
","Apr 16, 2019 5:44PM ET",
679,"hola
","Apr 16, 2019 3:50PM ET",
680,"tesla doesn't make solar nor the rockets
","Apr 16, 2019 2:05PM ET",
681,"Waiting for that short squeeze...it might smell...But even if it does smell....you got to love the BRAND
","Apr 16, 2019 2:02PM ET",
682,"Smell that? .... might be a short squeeze im the making....33% short in Tsla....180 shares at 259$ and im still not happy. 280 will Suffice
","Apr 16, 2019 2:01PM ET",
683,"In Elon we trust. He made both American cars and American rockets GREAT again :D Tesla is sitting on a gold mine. Autonomous driving tech is the leader (worth 175 Billion$ according to Morgan ;0 ), It's battery tech and capacity is light years ahead than t...Show more
","Apr 16, 2019 1:38PM ET",
684,"going up up up...game over for other ev cars...Tesla lunches there latest autonomous system...no company in the WORLD can match that
","Apr 16, 2019 1:22PM ET",
685,"it is all about the tremendous potential in this industry.If we like or not, Tesla is ahead of the game.
","Apr 16, 2019 1:05PM ET",
686,"it's amazing how this stock rises 2~3% without no good news from time to time.
","Apr 16, 2019 12:07PM ET",
687,"There’s no way ANY other company can produce an equivalent affordable EV compared to Tesla’s Model 3 - without losing money.
","Apr 16, 2019 11:54AM ET",
688,"I have strong belief Q2 will be positively surprising.
","Apr 16, 2019 11:47AM ET",
689,"great bullish move
","Apr 16, 2019 10:37AM ET",
690,"notice no bragging about how many preorders for the model Y!? why because they presuck
","Apr 16, 2019 10:19AM ET",
691,"Nice
","Apr 16, 2019 10:17AM ET",
692,"They were supposed to show the Model Y in ""China Shanghai"" but they are going to unveil it in U.S instead? why?
","Apr 16, 2019 10:11AM ET",
693,"model Y not show at auto show in Shanghai .no good very is the Y??
","Apr 16, 2019 9:54AM ET",
694,"Any update?
","Apr 16, 2019 9:17AM ET",
695,"going more than 270 insha allah
","Apr 16, 2019 9:09AM ET",
696,"where's the market going to open. I expect 270
","Apr 16, 2019 6:44AM ET",
697,"If we listen Morgan, Tesla worth easy 300 billion :) So.. yeah. Nice example of the Crusade against TSLA :D
","Apr 15, 2019 5:32PM ET",
698,"Morgan Stanley says Waymo, Google's self-driving car unit, could be worth $175 billion yet decrease Tesla stock price target?!?! hahaha :D
","Apr 15, 2019 5:24PM ET",
699,"Everyone can see EV tsunami, VW, Ford, Merc, Porsche pouring ****billions*** of US. Guess what, TESLA is the leader and will ride *high* on this wave. This is not just a stock, it is part of evolution of human kind. Current market value 46billion$ is nothi...Show more
","Apr 15, 2019 5:20PM ET",
700,"Judgement after the 24.
","Apr 15, 2019 4:13PM ET",
701,"huge volume at 258.63 was bought
","Apr 15, 2019 3:44PM ET",
702,"let's be honest why you want to buy this stock? ceo is on marijuana .cars sell are down .the company lose millions every day why just tell me why?
","Apr 15, 2019 1:32PM ET",
703,"Google: . Tesla Model X Long Range review - DrivingElectric
","Apr 15, 2019 12:45PM ET",
704,"My poor retail herd... selling their shares at a discount to big players :|   :D
","Apr 15, 2019 12:31PM ET",
705,"no more support $250 coming up
","Apr 15, 2019 12:09PM ET",
706,"All the bankers, the analysts, the journalists can speak ill of Tesla and make it collapse, but Musk cannot speak well of his company ... I understand Musk, it is hard to see that powerful planetary speculators, for their lucrative interest and endless gre...Show more
","Apr 15, 2019 11:39AM ET",
707,"ok at this point musk want get out of tesla or he think is god and he can do whatever he wants!making fun of the sec again is a joke
","Apr 15, 2019 11:21AM ET",
708,"it's dangerous if it can't hold above $260. #TESLA $TSLA_ $261.95 (-5.75 _ 22:15 4/15)
","Apr 15, 2019 10:16AM ET",
709,"it's dangerous if it can't hold above $260. #TESLA $TSLA_ $261.95 (-5.75 _ 22:15 4/15)
","Apr 15, 2019 10:15AM ET",
710,"Elon WANTS the SEC to remove him as CEO. It's a sinking ship, and only the SEC can throw his ego a life preserver (ie remove him so he can blame the inevitable decline on the SEC).
","Apr 15, 2019 10:03AM ET",
711,"tsla destroyed by VW?
","Apr 15, 2019 9:56AM ET",
712,"judge told him to settle with the SEC not provoke the SEC again.
","Apr 15, 2019 9:55AM ET",
713,"the big support is $200 :) get ready tesla funs:)
","Apr 15, 2019 9:54AM ET",
714,"support at 257
","Apr 15, 2019 9:48AM ET",
715,"is this because of his p. Post. rod estimate on tweeter?
","Apr 15, 2019 9:46AM ET",
716,"so tesla wants to die !
","Apr 15, 2019 9:44AM ET",
717,"Hi friends any update for Today ??
","Apr 15, 2019 8:04AM ET",
718,"this stock will have trouble making big moves for a while.. A lot of uncertainty on both the bullish side and the bearish side.
","Apr 15, 2019 5:34AM ET",
719,"""Volkswagen will buy 50 billion euros ($56.57 billion) worth of battery cells for electric cars and has identified South Korea's SKI, LG Chem and Samsung (KS:005930) SDI as strategic battery cell suppliers as well as China's Contemporary Amperex Technology...Show more
","Apr 15, 2019 12:07AM ET",
720,"this stock will sink big tomorrow.....be prepared for a wild ride
","Apr 14, 2019 10:32PM ET",
721,"Easy 300 this weak. All the so called ""bad"" news are priced heavily. A lot of knee jerking for a company with 100% revenue increase, growing both production capacity, product types and leading the field by a mile. Join the EV party at discount rates mates....Show more
","Apr 14, 2019 11:59AM ET",
722,"It has to bounce near this price. Then we will see it again bear 360
","Apr 14, 2019 3:11AM ET",
723,"In order to go up, it has to climb up to 283 more or less, soon. While that, it will keep falling
","Apr 14, 2019 3:08AM ET",
724,"Any David Einhorn fans present today? Maybe Whitney Tilson?
","Apr 13, 2019 11:27PM ET",
725,"Tesla has peaked. I would feel bad about profiting off all the bulls of they weren't so spiteful
","Apr 13, 2019 11:22PM ET",
726,"Will start climbing like beautiful FALCON HEAVY did ;)
","Apr 13, 2019 5:38PM ET",
727,"True Americans should be really proud of Tesla. It made American cars great again.
","Apr 13, 2019 10:33AM ET",
728,"Going to touch 281 then down to 265...then up to 380 again...so easy
","Apr 13, 2019 12:16AM ET",
729,"easy 280+
","Apr 12, 2019 7:32PM ET",
730,"I keep saing Tesla is, for all intents and purposes, a ponzi scheme. SP flags, investors get imatient, so they hastily announce a new model, draw suckers in, and the price moves up. Of course to the benefit of those already holding. New model proves a comm...Show more
","Apr 12, 2019 5:02PM ET",
731,"correct..... it will need to break a certain level for that to happen, the question is what is that price?
","Apr 12, 2019 4:20PM ET",
732,"im a bear, but be realistic ,the big bucks aren't selling....yet.
","Apr 12, 2019 4:13PM ET",
733,"TSLA is never a clever move at any price unless day-trading the stock for quick profit
","Apr 12, 2019 2:39PM ET",
734,"Good close for weekly chart if above 265$, for long period traders increase in this level could be a clever move! Bought 30 more shares yesterday!
","Apr 12, 2019 2:13PM ET",
735,"ok this stock will never evere see the $300 from now on wil just go down .next stop $250
","Apr 12, 2019 1:46PM ET",
736,"back to green
","Apr 12, 2019 1:13PM ET",
737,"I sold my Tesla early morning at 270. Feel lucky
","Apr 12, 2019 12:23PM ET",
738,"up from here till 275-280 next week
","Apr 12, 2019 12:11PM ET",
739,"Markets are up but investors have lost confidence in this stock -$265 today
","Apr 12, 2019 11:59AM ET",
740,"will buy at 258 only
","Apr 12, 2019 11:45AM ET",
741,"$265
","Apr 12, 2019 11:08AM ET",
742,"be a good boy musk no more tweet or the mommy put you in the corner bad boy bad boy!
","Apr 12, 2019 11:07AM ET",
743,"tesla made impossible to order and buy the $35 k model 3 .why ?because they lose money.
","Apr 12, 2019 11:02AM ET",
744,"after the successful FALCON launch...yes I expect a better future for Tesla...waiting for model y production and Tesla semi truck..and that time..boom stock go up to 400 easy...if not befor that time
","Apr 12, 2019 10:01AM ET",
745,"$265 by eod
","Apr 12, 2019 9:46AM ET",
746,"maybe no?? $220
","Apr 12, 2019 9:42AM ET",
747,"$420 yessssss
","Apr 12, 2019 9:41AM ET",
748,"yes it's going up today
","Apr 12, 2019 9:33AM ET",
749,"was mentioning about leasing just a month ago and now here it's! Q2 is going to be interesting!
","Apr 12, 2019 9:18AM ET",
750,"FALCON HEAVY 100% success!!!!! Tomorrow those 3 boosters will put onto TESLA ;)
","Apr 11, 2019 8:32PM ET",
751,"Launch with Falcon Heavy dude. Today's drop doesn't make sense at all. If Panasonic and Tesla just stop growth sure I got that but it is happening *after* Tesla concluded negotiations with Maxwell purchase and Chinese battery producers. Tesla said they wer...Show more
","Apr 11, 2019 4:57PM ET",
752,"let's see... The wave is coming and seems to be very high... 340-360$
","Apr 11, 2019 4:28PM ET",
753,"Funny how Tesla can forecast lower cap-ex yet still plan on building a plant in China. Now that Panasonic have pulled out, Tesla will really struggle to get the cash.
","Apr 11, 2019 2:32PM ET",
754,"the BlackBerry of the cars
","Apr 11, 2019 1:58PM ET",
755,"good bye TSLA,. known only in the history books soon
","Apr 11, 2019 1:54PM ET",
756,"wait...just wait...Tesla in the only car manufacturer who have a perfect autopilot for cars...and there battery technology is way better than others...iam waiting for model y production...I will wait and win
","Apr 11, 2019 1:50PM ET",
757,"not battery no cars that easy!
","Apr 11, 2019 1:28PM ET",
758,"WIRESPanasonic says reviewing further investment in Tesla Gigafactory. PUBLISHED THU, APR 11 2019 • 5:41 AM EDT. . . . . . April 11 (Reuters) - Panasonic Corp is studying further investments in battery production at its gigafactory joint venture with Tesla...Show more
","Apr 11, 2019 1:22PM ET",
759,"let's see if the SEC also investigates these false reports that bring down the title
","Apr 11, 2019 1:21PM ET",
760,"my point of view 1 production is down really bad 2 ) running out of cash wait for the result ! 3) Panasonic don't want to expand 4 )they cut jobs like crazy 5) problem with sec 6) cars are ugly 7 ) tell me what else
","Apr 11, 2019 1:16PM ET",
761,"teshlanos
","Apr 11, 2019 12:54PM ET",
762,"Buying tesla now ! Easily 10% return.
","Apr 11, 2019 12:41PM ET",
763,"I have to say the VW eGolf is a great car. The competion is really heating up for Tesla. You can also get much better service than from unreliable Tesla, what is their actual strategy on after sales service?
","Apr 11, 2019 11:29AM ET",
764,"why Panasonic don't want to expand the giga factory? tell me why
","Apr 11, 2019 11:21AM ET",
765,"Tesla can be profitable without government tax credits right? Why is the government trying to give away more tax payer money to people who can afford Tesla's $100k cars?
","Apr 11, 2019 10:45AM ET",
766,"Panasonic refuses to lose more millions this is good idea!
","Apr 11, 2019 10:44AM ET",
767,"brought at 267 . gotta Hold
","Apr 11, 2019 10:32AM ET",
768,"I argue it is not bad news actually. Tesla will be buying cheaper batteries from Chinese producers and with Maxwell deal producing truly its own batteries. Alas people just react without much thinking.
","Apr 11, 2019 10:30AM ET",
769,"Panasonic is punishing Tesla for planning to do business with Chinese battery producer and Maxwell deal :D Good move Panasonic good move but now it is certain you will not get anything new from Tesla.
","Apr 11, 2019 10:27AM ET",
770,"It's amazing how good news make this stock grow 2 o 3 USD, while bad ones make it fall 9 easily
","Apr 11, 2019 10:07AM ET",
771,"Last chance for short sellers to out with no source news.
","Apr 11, 2019 10:01AM ET",
772,"One day this stock has a good news next day boom bad news that's not good at all.
","Apr 11, 2019 9:55AM ET",
773,"what happened?
","Apr 11, 2019 9:53AM ET",
774,"Buying at opening might be a good idea for daily traders!
","Apr 11, 2019 9:20AM ET",
775,"this stock is toast......done....free falling
","Apr 11, 2019 9:06AM ET",
776,"will this continue to drop into open and today or rest of week? Thoughts?
","Apr 11, 2019 8:17AM ET",
777,"Is the story a non event? Plans changed, the two companies are shelving an investment.
","Apr 11, 2019 8:07AM ET",
778,"It's more likely fake news without source.
","Apr 11, 2019 7:17AM ET",
779,"Tesla and Panasonic freeze spending on $4.5bn Gigafactory: . https://asia.nikkei.com/Business/Companies/Tesla-and-Panasonic-freeze-spending-on-4.5bn-Gigafactory
","Apr 11, 2019 6:15AM ET",
780,"What happened? Time to buy more?
","Apr 11, 2019 6:11AM ET",
781,"So today buy or sell??
","Apr 11, 2019 5:54AM ET",
782,"Why is this happening ?
","Apr 11, 2019 5:54AM ET",
783,"i'm
","Apr 11, 2019 5:51AM ET",
784,"Yes.. It's quite bad.. Cannot trust Tesla...
","Apr 11, 2019 5:50AM ET",
785,"Premarket unexpected move, how many SLs where triggered? It was a big move
","Apr 11, 2019 5:47AM ET",
786,"I hope today reached more than 280 ...next Monday Monday most probably 300+
","Apr 11, 2019 1:48AM ET",
787,"Two days, two great news. Long ;)
","Apr 10, 2019 10:01PM ET",
788,"the dude can't tweet anymore so no more fun :( is a little baby in the corner get punished from the teacher.bad boy bad boy
","Apr 10, 2019 6:30PM ET",
789,"Looks like members of Congress are tired of seeing their Tesla shares fall.
","Apr 10, 2019 6:09PM ET",
790,"Hey guys, don't forget SpaceX Falcon Heavy’s launch in about three hours.. https://www.spacex.com/webcast
","Apr 10, 2019 3:20PM ET",
791,"Did anyone checked the price of gasoline recently? For those holding a Tesla stock no need to sell at this prices, just wait and be patient
","Apr 10, 2019 12:09PM ET",
792,"279 today
","Apr 10, 2019 11:32AM ET",
793,"U.S. lawmakers introduce bill to boost electric car tax credits
","Apr 10, 2019 9:58AM ET",
794,"free money from fiat now free money from tax credit and the stock don't go up! is bad!
","Apr 10, 2019 9:57AM ET",
795,"i watched the documentary of theranos now i understand why tesla is at $300 .
","Apr 10, 2019 9:30AM ET",
796,"Great range to go long
","Apr 10, 2019 9:26AM ET",
797,"Ferrari and Lamborghini makes a 1900 hp cars ! move over tesla
","Apr 10, 2019 9:18AM ET",
798,"Up 2.5 % in the premarket because 'a' analyst firm upgrade the stock,ff
","Apr 10, 2019 9:15AM ET",
799,"27th March . Article. https://www.thestreet.com/investing/stocks/tesla-secondary-stock-offering-14908776. . My view from article , After SEC issue finalized.. Secondary offering coming. is it possible. . This caoul affect stock positively.
","Apr 10, 2019 5:11AM ET",
800,"Did I. I did not say 50 it is so unrealistic. Jefferies investment gave 50 usd put option target. its fradulent. I am agains that.. . I also think as WTI . I am surprised that we did not see below 269. Since the volume is lesser.. . Did worst is over. May ...Show more
","Apr 10, 2019 4:30AM ET",
801,"Tesla Model 3 becomes best-selling car in Switzerland – not just electric. . https://electrek.co/2019/04/09/tesla-model-3-best-selling-car-period-switzerland/
","Apr 10, 2019 3:31AM ET",
802,"$50 says Mert Kara is really Musk
","Apr 10, 2019 12:21AM ET",
803,"If your that worried about one position your trade size is to big
","Apr 09, 2019 12:57PM ET",
804,"buy opportunity $420 soon i am buying the all company to go private:)
","Apr 09, 2019 12:07PM ET",
805,"+280 eod
","Apr 09, 2019 12:01PM ET",
806,"last exit....  3-
","Apr 09, 2019 11:52AM ET",
807,"yes &lt;ı am.
","Apr 09, 2019 11:51AM ET",
808,"Somebody went short
","Apr 09, 2019 11:50AM ET",
809,"252
","Apr 09, 2019 11:40AM ET",
810,"now you can buy your tesla on Amazon! 1 day free shipping on prime!
","Apr 09, 2019 10:43AM ET",
811,"tesla cut sells people no more show rooms. you can buy tesla on Amazon! 1 day shipping on prime time! no test drive just buy it!
","Apr 09, 2019 10:39AM ET",
812,"there is 1,33 m,nitues to test 269. where are you . take your positions.
","Apr 09, 2019 10:23AM ET",
813,"A company that increases its sales by 110% in a year would have problems ??? you are crazy!!! The real problem is that Germany has its economy based on the ICE car and the electric scares him, Tesla scares him, and even Ford and company are afraid and ever...Show more
","Apr 09, 2019 10:22AM ET",
814,"tesla cut more jobs its over sell now!
","Apr 09, 2019 10:21AM ET",
815,"252
","Apr 09, 2019 10:11AM ET",
816,"last exit.
","Apr 09, 2019 10:11AM ET",
817,"Once the tide turns, this will be one the maddest bull runs in the history. Some may laugh at 4K estimate. I want to remind them Apple price move after Iphone. Tesla cars are Iphone+Uber :D
","Apr 09, 2019 10:10AM ET",
818,"Scrivi unhow much it bothers Musk and the EV in the world from 1 to 100? .... answer 100 tuo commento su Tesla Inc
","Apr 09, 2019 9:54AM ET",
819,"Tesla cars = overpriced goofy looking cars. Too many attractive EV options at lower pricing. Tesla is old news. kinda like sliced bread. Everyone now sells it. Novelty is gone.
","Apr 09, 2019 9:53AM ET",
820,"my point 1) no demand quality of the cars is poor 2)everyone is marking ev better look 3) the model Y was a big mistake to copy the 3 . i can go on and on
","Apr 09, 2019 9:48AM ET",
821,"Musk is just a little part of the equation. The problem is that there is no model
","Apr 09, 2019 9:42AM ET",
822,"269 first. 265 second.
","Apr 09, 2019 9:39AM ET",
823,"are you ready.
","Apr 09, 2019 9:26AM ET",
824,"no women no cry.
","Apr 09, 2019 9:25AM ET",
825,"let's be honest tesla cars are ugly nothing great this is my big point today!you look goofy in it! you are not cool try to impress people ! buy a lambo!
","Apr 09, 2019 9:22AM ET",
826,"Tesla will run out of American buyers but that's okay because everyone is more interested in Norway now lol. Good luck Elon
","Apr 09, 2019 9:10AM ET",
827,"There are million ways to lose money. . . Anonymus. or Mert Kara
","Apr 09, 2019 8:20AM ET",
828,"remember remember 4th of April.
","Apr 09, 2019 8:14AM ET",
829,"today is a flat boring day. No action.
","Apr 09, 2019 8:13AM ET",
830,"Good analysis from seeking alpha https://invst.ly/ahy8m
","Apr 09, 2019 8:02AM ET",
831,"In my honest and professional opinion, TSLA will succeed and shoot up to long-term thesis within 2019. . . TSLA has the most glamorously *****cars on the EV-market for it's bang per buck. . . As TSLA keeps on growing I stronly believe they will become the ...Show more
","Apr 09, 2019 7:12AM ET",
832,"SEC: Take Elon to court, fine him, and remove his chairman position over tweets!. . China: Gave Elon an extremely rare honorary citizenship and government backed construction loans. . Which one do you think wants to win the future?
","Apr 08, 2019 6:42PM ET",
833,"Good news are ignored. ""Bad"" news are exaggerated and herd is scared. It will change but I guess it will take longer than I thought.
","Apr 08, 2019 3:20PM ET",
834,"While genius bears try to figure out how low can Tesla  stock gets ( and it may actually go quite low) Sandy Munro explains, to  those who want to listen, the magic of a Tesla car from an engineering stand point that makes it way ahead of competition.
","Apr 08, 2019 1:16PM ET",
835,"Norway are expecting nev electrich weichle to surpass 50% of total aquisition
","Apr 08, 2019 12:23PM ET",
836,"re-testing 278 as the bottom of the channel, what's the top?
","Apr 08, 2019 9:40AM ET",
837,"i got my profit from 270 to 280, i ll take it
","Apr 08, 2019 9:35AM ET",
838,"I think they trying to left up the price before the next earnings date; its a deja vu.
","Apr 08, 2019 9:30AM ET",
839,"still waiting TSLA up to. . $298
","Apr 08, 2019 9:26AM ET",
840,"Today 285 confirm..
","Apr 08, 2019 5:31AM ET",
841,"haha I see some bears panicked ;)
","Apr 08, 2019 4:53AM ET",
842,"Pre-Market Good.. Today can reach more than 285.. This week I can save my money..
","Apr 08, 2019 4:19AM ET",
843,"Elon Musk is selling out to the gas guzzlers, so much for saving the planet. This guy has no morals.
","Apr 08, 2019 4:15AM ET",
844,"""they"" want you to be poor, so what ever you do they will go the opposite of you.
","Apr 07, 2019 9:18PM ET",
845,"Tesla is going to test 164, then it is going to 155. millennials dont like the news of tesla helping Fiat destroy cheat on their car emmissions. I thought tesla was all about helping the environment.
","Apr 07, 2019 9:14PM ET",
846,"https://dailywealth.com/articles/this-billionaire-ceos-stock-is-set-to-crash-this-year/
","Apr 07, 2019 9:01PM ET",
847,"tomorrow Tesla 290
","Apr 07, 2019 5:18PM ET",
848,"Tomorrow +5, very good news
","Apr 07, 2019 3:18PM ET",
849,"2021...is the year.... till then they might be out of business
","Apr 07, 2019 3:01PM ET",
850,"Fiat Chrysler to pay Tesla hundreds of millions of euros to pool fleet
","Apr 07, 2019 9:52AM ET",
851,"Tomorrow open $280 then all the way to 300..
","Apr 07, 2019 6:55AM ET",
852,"250 is next level then 235 then 200 then 180 ,keep smile it's gonna be a blood bath
","Apr 07, 2019 3:32AM ET",
853,"next weak target $300
","Apr 06, 2019 11:26PM ET",
854,"What about elon's tweet hinting towards updates to autopilot and fell self driving become available?
","Apr 06, 2019 4:22PM ET",
855,"gap closed next week.. check daily chart
","Apr 05, 2019 7:17PM ET",
856,"During the next 18 months, the share price will certainly be cut in half.. During the next 36 months, Tesla will likely be proven to have engaged in some VERY questionable accounting practices (if not outright fraud). . . . The cult of Elon is more impress...Show more
","Apr 05, 2019 6:50PM ET",
857,"Why i can post anything lol
","Apr 05, 2019 3:52PM ET",
858,"Hey guys ...can I ask as a newbie why sell at 275 ??
","Apr 05, 2019 3:07PM ET",
859,"https://www.investing.com/news/stock-market-news/exclusive-united-states-sets-sights-on-china-in-new-electric-vehicle-push-1828720
","Apr 05, 2019 1:55PM ET",
860,"damn..so the BEAR for bad sales only lasted for 1 day
","Apr 05, 2019 1:04PM ET",
861,"Fast pumping and slow dumping....some don't want to hold during the dumping to wait for the pumping.....since overall dumping will happen.
","Apr 05, 2019 11:32AM ET",
