,comment,date,+/-
50,"Tesla Norway sales still horribly down. Just 1 Model S sold so far. Model 3 only rank five after VW eGolf, Nissan Leaf, Audi etron, Jaguar iPace. May sales look worse than April sales. q2  quarter sales outlook dismal.
","May 03, 2019 10:01AM ET",
51,"the market understand more money they raise less the stock is worth.so do your math
","May 03, 2019 9:59AM ET",
52,"I think a seconde wave down is coming to 210-215
","May 03, 2019 9:54AM ET",
53,"Gang what you are seeing here is a short term anomaly.  If this was any other company you would see a 10% drop in stock price.  Enjoy it short term and use it as a way to make money!
","May 03, 2019 9:53AM ET",
54,"fidelity is dumping the stock this is a bad signal
","May 03, 2019 9:51AM ET",
55,"let's see what happens after 1 hour :)
","May 03, 2019 9:45AM ET",
56,"musk massive debt can destroy tesla!
","May 03, 2019 9:29AM ET",
57,"https://insideevs.com/news/347137/tesla-model-3-s-x-sales-april/
","May 03, 2019 9:02AM ET",
58,"everyone be READY WHEN MARKET OPENS :))))
","May 03, 2019 8:38AM ET",
59,"243-249 today
","May 03, 2019 6:34AM ET",
60,"Tesla  sharply increased rates on superchargers in Germany to 40c per kWh. This is equivalent to USD 16!! per gal. This explains the huge drop in Model 3 sales in Europe. Model 3 now just 9 sold in May in Norway. VW eGolf 36. Audi etron 20. Nissan Leaf 25....Show more
","May 03, 2019 5:40AM ET",
61,"falls breakout or back to the bull run that is the risk to take, on which side are you?
","May 03, 2019 4:42AM ET",
62,"all be ready when market opens...its a very interesting day
","May 03, 2019 4:21AM ET",
63,"I rather buy MNST
","May 03, 2019 1:28AM ET",
64,"Tsla will see 200 before goes 270
","May 03, 2019 1:27AM ET",
65,"Chamath Palihapitiya on Elon Musk and Tesla: Epic pwnage.!!! ;)
","May 02, 2019 10:30PM ET",
66,"i think nobody is going to give money to tesla .maybe only if interest rate is crazy like 15%
","May 02, 2019 9:13PM ET",
67,"The bond will sell for terms cheaper than prior bond is 2-3% :). Dirt cheap money for Tesla, as Wall Street is invested in the convertible optionality if the Stock shoots up, they can make a ton of money. I'm interested to see how Wall Street will review t...Show more
","May 02, 2019 8:53PM ET",
68,"That’s interesting:https://www.zerohedge.com/news/2019-04-21/new-study-shocks-electric-cars-considerably-worse-climate-diesel-cars
","May 02, 2019 5:34PM ET",
69,"@idiotstockpicker Well, consider this, from engineering stand point most of the manufacturers just build the platform ICE engine with various parts etc. and upgrade the chassis interior and bumpers. some models have parts that last 2 generations if not mor...Show more
","May 02, 2019 5:04PM ET",
70,"Have you seen the new e - Mini Cooper? I own a Tesla model 3 and so does everyone else. People will get sick of buying the same Model T and move to other brands and styles.
","May 02, 2019 4:48PM ET",
71,"Hype and Hope today, gone tomorrow and back to a drop in price
","May 02, 2019 4:21PM ET",
72,"IF YOU KNOW WHAT THE FUTURE WILL BE LIKE...BUY TESLA...ITS NOT ABOUT EMOTIONS...ITS ABOUT ECONOMY NEEDS AND WHAT PEOPLE WANT.
","May 02, 2019 3:34PM ET",
73,"TSLA: Tesla expects shortage of metals used in EV batteries
","May 02, 2019 2:40PM ET",
74,"one more month...and things will be waaaaay different...in BETTER WAY :)
","May 02, 2019 1:56PM ET",
75,"to the moon
","May 02, 2019 1:18PM ET",
76,"Looks like someone hired online trolls to give Tesla negative reputation
","May 02, 2019 1:18PM ET",
77,"and a critical question is what the maker of electric cars will pay for that money?
","May 02, 2019 11:38AM ET",
78,"Fidel - The man!
","May 02, 2019 11:22AM ET",
79,"Cooler heads prevail!
","May 02, 2019 11:21AM ET",
80,"Tesla finally doing some share buyback lol
","May 02, 2019 11:19AM ET",
81,"sold more at 245. this next quarter will be very bad. Elon should have asked for more
","May 02, 2019 11:07AM ET",
82,"I got in at 250 .. I expect a big margin on my mola.. intrinsic val 400-450 an that's extremely conservative
","May 02, 2019 10:49AM ET",
83,"Bears literally no excuse. What are guys expecting to happen? What are you betting against? The ultimate worst case scenario is Apple/Google paying 100 billion to buy out. We have a company whose revenue is increasing with a min 50% rate building *2* facto...Show more
","May 02, 2019 10:47AM ET",
84,"sounds another's day to make money...told you all to buy at 235..even 240 is a good price :)
","May 02, 2019 10:40AM ET",
85,"I bet we rally to $250 today.
","May 02, 2019 10:32AM ET",
86,"long term! Stay patient... there is such thing as good debt if your marketing how ppl will live in the near future
","May 02, 2019 10:29AM ET",
87,"notice no news about preorders ??!! with model 3 the first think was to tell everyone about it.now ? nothing why??
","May 02, 2019 10:26AM ET",
88,"So predictable yet so unpredictable
","May 02, 2019 10:26AM ET",
89,"247
","May 02, 2019 10:24AM ET",
90,"i am amazed that people still given all this money after years and years of loss.how siod you need be
","May 02, 2019 10:18AM ET",
91,"lol i bought a put $245 and is in the money now!! go down baby
","May 02, 2019 10:12AM ET",
92,"It takes a day or to until traders understand what it means that musk finally seeks a capital increase. From then on the stock will actually rise I estimate.
","May 02, 2019 10:12AM ET",
93,"This is the final week for the fun the shorts have been having, they have exhausted themselves and wont have much left to push it lower.  You guys had a good run but it's time to give it up
","May 02, 2019 10:11AM ET",
94,"Like . Ciprian Gal said every spike gets sold!
","May 02, 2019 10:10AM ET",
95,"Like I said it wouldn't stay above $240 for long!
","May 02, 2019 10:02AM ET",
96,"cmon teslwrati give more money to your king!
","May 02, 2019 9:43AM ET",
97,"Musk-Con-Teer at its finest. Everyone knew TSLA Needed to raise capital to survive. Take advantage of inflated stock to raise capital, as expected
","May 02, 2019 9:42AM ET",
98,"I wouldn't be surprised if it went below $240 today
","May 02, 2019 9:35AM ET",
99,"this stock is really insane... or a trader dream, I dont know IoI
","May 02, 2019 9:31AM ET",
100,"Time for GM to anty up and make their offer and leap from the rest of the players.. dream team Tesla❤GM
","May 02, 2019 9:28AM ET",
101,"As usual every spike up will get sold
","May 02, 2019 9:08AM ET",
102,"Shorts should take their profits while they can
","May 02, 2019 8:46AM ET",
103,"ehh....WHAT?
","May 02, 2019 8:45AM ET",
104,"Question: Do any of the traders here who want Tesla to tank own a Tesla?
","May 02, 2019 8:42AM ET",
105,"LOL...EM likes to talk up his shares. Red flag there. This will definitely attract the 'short' vultures.
","May 02, 2019 8:37AM ET",
106,"$2B offering should please most Tesla shareholders!
","May 02, 2019 8:33AM ET",
107,"How is this good news? Please explain?
","May 02, 2019 8:32AM ET",
108,"Fly fly 260 today
","May 02, 2019 8:17AM ET",
109,"Good thing I added 150 more shares at 232 yesterday
","May 02, 2019 8:05AM ET",
110,"I hope today reach more than 250..
","May 02, 2019 8:04AM ET",
111,"Any reason for up in premarket?
","May 02, 2019 7:48AM ET",
112,"Tesla Filing Shows Registration For ~2.72M Common Shares, CEO Elon Musk Has Indicated Prelim. Interest To Buy Up To ~41.896K Common Shares For $10M
","May 02, 2019 7:36AM ET",
113,"Today 200 witch
","May 02, 2019 6:23AM ET",
114,"https://www.cnbc.com/video/2019/05/01/chamath-palihapitiya-musk-the-edison-of-our-generation.html
","May 02, 2019 1:09AM ET",
115,"Chamath Palihapitiya... watch his video talking about Tesla. Case closed.
","May 02, 2019 1:05AM ET",
116,"So when we looked at Tesla, what we thought was a company at an inflection point that was as close to its version of an iPhone moment, and what I mean by that is a company that had been growing up, taking risks and had finally found the mass-market product...Show more
","May 01, 2019 11:52PM ET",
117,"long term on tesla! it has the most upright potential throughout the next 2-3 years
","May 01, 2019 7:37PM ET",
